edition,edition_id,year,country,country_noc,gold,silver,bronze,total,Logo
1992 Winter Olympics,44,1992,Italy,ITA,4,6,4,14,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,France,FRA,3,5,1,9,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Finland,FIN,3,1,3,7,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Canada,CAN,2,3,2,7,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Republic of Korea,KOR,2,1,1,4,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Japan,JPN,1,2,4,7,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Netherlands,NED,1,1,2,4,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Sweden,SWE,1,0,3,4,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Switzerland,SUI,1,0,2,3,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,People's Republic of China,CHN,0,3,0,3,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Luxembourg,LUX,0,2,0,2,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,New Zealand,NZL,0,1,0,1,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Czechoslovakia,TCH,0,0,3,3,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Democratic People's Republic of Korea,PRK,0,0,1,1,https://i.postimg.cc/G2KWgL3C/1992.png
1992 Winter Olympics,44,1992,Spain,ESP,0,0,1,1,https://i.postimg.cc/G2KWgL3C/1992.png
1994 Winter Olympics,45,1994,Russian Federation,RUS,11,8,4,23,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Norway,NOR,10,11,5,26,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Germany,GER,9,7,8,24,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Italy,ITA,7,5,8,20,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,United States,USA,6,5,2,13,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Republic of Korea,KOR,4,1,1,6,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Canada,CAN,3,6,4,13,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Switzerland,SUI,3,4,2,9,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Austria,AUT,2,3,4,9,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Sweden,SWE,2,1,0,3,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Japan,JPN,1,2,2,5,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Kazakhstan,KAZ,1,2,0,3,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Ukraine,UKR,1,0,1,2,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Uzbekistan,UZB,1,0,0,1,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Belarus,BLR,0,2,0,2,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Finland,FIN,0,1,5,6,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,France,FRA,0,1,4,5,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Netherlands,NED,0,1,3,4,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,People's Republic of China,CHN,0,1,2,3,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Slovenia,SLO,0,0,3,3,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Great Britain,GBR,0,0,2,2,https://i.postimg.cc/8cCqq2sr/1994.png
1994 Winter Olympics,45,1994,Australia,AUS,0,0,1,1,https://i.postimg.cc/8cCqq2sr/1994.png
1998 Winter Olympics,46,1998,Germany,GER,12,9,8,29,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Norway,NOR,10,10,5,25,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Russian Federation,RUS,9,6,3,18,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Canada,CAN,6,5,4,15,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,United States,USA,6,3,4,13,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Netherlands,NED,5,4,2,11,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Japan,JPN,5,1,4,10,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Austria,AUT,3,5,9,17,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Republic of Korea,KOR,3,1,2,6,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Italy,ITA,2,6,2,10,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Finland,FIN,2,4,6,12,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Switzerland,SUI,2,2,3,7,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,France,FRA,2,1,5,8,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Czechia,CZE,1,1,1,3,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Bulgaria,BUL,1,0,0,1,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,People's Republic of China,CHN,0,6,2,8,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Sweden,SWE,0,2,1,3,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Denmark,DEN,0,1,0,1,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Ukraine,UKR,0,1,0,1,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Belarus,BLR,0,0,2,2,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Kazakhstan,KAZ,0,0,2,2,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Australia,AUS,0,0,1,1,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Belgium,BEL,0,0,1,1,https://i.postimg.cc/VvH31KbZ/1998.png
1998 Winter Olympics,46,1998,Great Britain,GBR,0,0,1,1,https://i.postimg.cc/VvH31KbZ/1998.png
2002 Winter Olympics,47,2002,Norway,NOR,13,5,7,25,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Germany,GER,12,16,8,36,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,United States,USA,10,13,11,34,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Canada,CAN,7,3,7,17,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Russian Federation,RUS,5,4,4,13,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,France,FRA,4,5,2,11,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Italy,ITA,4,4,5,13,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Finland,FIN,4,2,1,7,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Netherlands,NED,3,5,0,8,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Austria,AUT,3,4,10,17,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Switzerland,SUI,3,2,6,11,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Croatia,CRO,3,1,0,4,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,People's Republic of China,CHN,2,2,4,8,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Republic of Korea,KOR,2,2,0,4,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Australia,AUS,2,0,0,2,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Czechia,CZE,1,2,0,3,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Estonia,EST,1,1,1,3,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Great Britain,GBR,1,0,1,2,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Sweden,SWE,0,2,5,7,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Bulgaria,BUL,0,1,2,3,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Japan,JPN,0,1,1,2,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Poland,POL,0,1,1,2,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Belarus,BLR,0,0,1,1,https://i.postimg.cc/44LCzxFv/2002.png
2002 Winter Olympics,47,2002,Slovenia,SLO,0,0,1,1,https://i.postimg.cc/44LCzxFv/2002.png
2006 Winter Olympics,49,2006,Germany,GER,11,12,6,29,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,United States,USA,9,9,7,25,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Austria,AUT,9,7,7,23,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Russian Federation,RUS,8,6,8,22,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Canada,CAN,7,10,7,24,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Sweden,SWE,7,2,5,14,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Republic of Korea,KOR,6,3,2,11,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Switzerland,SUI,5,4,5,14,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Italy,ITA,5,0,6,11,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,France,FRA,3,2,4,9,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Netherlands,NED,3,2,4,9,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Estonia,EST,3,0,0,3,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Norway,NOR,2,8,9,19,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,People's Republic of China,CHN,2,4,5,11,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Czechia,CZE,1,2,1,4,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Croatia,CRO,1,2,0,3,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Australia,AUS,1,0,1,2,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Japan,JPN,1,0,0,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Finland,FIN,0,6,3,9,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Poland,POL,0,1,1,2,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Belarus,BLR,0,1,0,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Bulgaria,BUL,0,1,0,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Great Britain,GBR,0,1,0,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Slovakia,SVK,0,1,0,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Ukraine,UKR,0,0,2,2,https://i.postimg.cc/ZKCGjz1G/2006.png
2006 Winter Olympics,49,2006,Latvia,LAT,0,0,1,1,https://i.postimg.cc/ZKCGjz1G/2006.png
2010 Winter Olympics,57,2010,Canada,CAN,14,7,5,26,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Germany,GER,10,13,7,30,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,United States,USA,9,15,13,37,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Norway,NOR,9,8,6,23,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Republic of Korea,KOR,6,6,2,14,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Switzerland,SUI,6,0,3,9,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,People's Republic of China,CHN,5,2,4,11,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Sweden,SWE,5,2,4,11,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Austria,AUT,4,6,6,16,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Netherlands,NED,4,1,3,8,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Russian Federation,RUS,3,5,7,15,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,France,FRA,2,3,6,11,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Australia,AUS,2,1,0,3,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Czechia,CZE,2,0,4,6,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Poland,POL,1,3,2,6,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Italy,ITA,1,1,3,5,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Belarus,BLR,1,1,1,3,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Slovakia,SVK,1,1,1,3,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Great Britain,GBR,1,0,0,1,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Japan,JPN,0,3,2,5,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Croatia,CRO,0,2,1,3,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Slovenia,SLO,0,2,1,3,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Latvia,LAT,0,2,0,2,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Finland,FIN,0,1,4,5,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Estonia,EST,0,1,0,1,https://i.postimg.cc/Vkt3QBs4/2010.png
2010 Winter Olympics,57,2010,Kazakhstan,KAZ,0,1,0,1,https://i.postimg.cc/Vkt3QBs4/2010.png
2014 Winter Olympics,58,2014,Norway,NOR,11,6,9,26,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Russian Federation,RUS,10,10,9,29,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Canada,CAN,10,10,5,25,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,United States,USA,9,9,10,28,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Netherlands,NED,8,7,9,24,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Germany,GER,8,6,5,19,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Switzerland,SUI,7,2,2,11,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Belarus,BLR,5,0,1,6,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Austria,AUT,4,8,5,17,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,France,FRA,4,4,7,15,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Poland,POL,4,1,1,6,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,People's Republic of China,CHN,3,4,2,9,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Republic of Korea,KOR,3,3,2,8,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Sweden,SWE,2,7,6,15,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Czechia,CZE,2,4,3,9,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Slovenia,SLO,2,2,4,8,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Japan,JPN,1,4,3,8,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Finland,FIN,1,3,1,5,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Great Britain,GBR,1,1,3,5,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Latvia,LAT,1,1,3,5,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Ukraine,UKR,1,0,1,2,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Slovakia,SVK,1,0,0,1,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Italy,ITA,0,2,6,8,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Australia,AUS,0,2,1,3,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Croatia,CRO,0,1,0,1,https://i.postimg.cc/J4v92d8G/2014.png
2014 Winter Olympics,58,2014,Kazakhstan,KAZ,0,0,1,1,https://i.postimg.cc/J4v92d8G/2014.png
2018 Winter Olympics,60,2018,Norway,NOR,14,14,11,39,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Germany,GER,14,10,7,31,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Canada,CAN,11,8,10,29,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,United States,USA,9,8,6,23,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Netherlands,NED,8,6,6,20,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Sweden,SWE,7,6,1,14,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Republic of Korea,KOR,5,8,4,17,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Switzerland,SUI,5,6,4,15,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,France,FRA,5,4,6,15,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Austria,AUT,5,3,6,14,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Japan,JPN,4,5,4,13,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Italy,ITA,3,2,5,10,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,ROC,ROC,2,6,9,17,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Czechia,CZE,2,2,3,7,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Belarus,BLR,2,1,0,3,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,People's Republic of China,CHN,1,6,2,9,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Slovakia,SVK,1,2,0,3,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Finland,FIN,1,1,4,6,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Great Britain,GBR,1,0,4,5,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Poland,POL,1,0,1,2,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Hungary,HUN,1,0,0,1,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Ukraine,UKR,1,0,0,1,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Australia,AUS,0,2,1,3,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Slovenia,SLO,0,1,1,2,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Belgium,BEL,0,1,0,1,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,New Zealand,NZL,0,0,2,2,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Spain,ESP,0,0,2,2,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Kazakhstan,KAZ,0,0,1,1,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Latvia,LAT,0,0,1,1,https://i.postimg.cc/DzKR2J8h/2018.png
2018 Winter Olympics,60,2018,Liechtenstein,LIE,0,0,1,1,https://i.postimg.cc/DzKR2J8h/2018.png
2022 Winter Olympics,62,2022,Norway,NOR,16,8,13,37,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Germany,GER,12,10,5,27,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,People's Republic of China,CHN,9,4,2,15,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,United States,USA,8,10,7,25,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Sweden,SWE,8,5,5,18,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Netherlands,NED,8,5,4,17,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Austria,AUT,7,7,4,18,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Switzerland,SUI,7,2,6,15,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,ROC,ROC,6,12,14,32,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,France,FRA,5,7,2,14,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Canada,CAN,4,8,14,26,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Japan,JPN,3,6,9,18,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Italy,ITA,2,7,8,17,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Republic of Korea,KOR,2,5,2,9,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Slovenia,SLO,2,3,2,7,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Finland,FIN,2,2,4,8,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,New Zealand,NZL,2,1,0,3,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Australia,AUS,1,2,1,4,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Great Britain,GBR,1,1,0,2,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Hungary,HUN,1,0,2,3,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Belgium,BEL,1,0,1,2,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Czechia,CZE,1,0,1,2,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Slovakia,SVK,1,0,1,2,https://i.postimg.cc/bvHWdytt/2022.png
2022 Winter Olympics,62,2022,Belarus,BLR,0,2,0,2,https://i.postimg.cc/bvHWdytt/2022.png
